"UF de notificação";"Em Branco";"Sim";"Não";"Indeterminado";"Total"
"11 Rondônia";27764;23214;668;458;52104
"12 Acre";40947;51116;420;1479;93962
"13 Amazonas";36617;23207;652;1279;61755
"14 Roraima";2260;3341;121;206;5928
"15 Pará";42036;35193;1462;1522;80213
"16 Amapá";4761;14955;314;90;20120
"17 Tocantins";48713;30959;1142;1069;81883
"21 Maranhão";39901;34062;1102;655;75720
"22 Piauí";55065;36574;966;4109;96714
"23 Ceará";195757;114515;4193;11403;325868
"24 Rio Grande do Norte";195260;29074;2635;5627;232596
"25 Paraíba";124038;42304;1597;3171;171110
"26 Pernambuco";255087;76242;5079;16307;352715
"27 Alagoas";80336;47995;5533;17171;151035
"28 Sergipe";18071;15846;458;1158;35533
"29 Bahia";417846;206077;7450;17023;648396
"31 Minas Gerais";1631298;1885090;35613;57619;3609620
"32 Espírito Santo";41502;141765;2748;1520;187535
"33 Rio de Janeiro";303874;214314;6691;67900;592779
"35 São Paulo";1278511;3425263;82748;43251;4829773
"41 Paraná";414813;1045724;29492;3671;1493700
"42 Santa Catarina";248178;368412;9797;8367;634754
"43 Rio Grande do Sul";116344;194203;7146;5677;323370
"50 Mato Grosso do Sul";115692;182597;2387;7816;308492
"51 Mato Grosso";89197;146201;2691;2846;240935
"52 Goiás";602730;707252;14917;65047;1389946
"53 Distrito Federal";349018;144933;7196;49668;550815
"00 Ignorado/exterior";-;12;-;1;13
"Total";6775616;9240440;235218;396110;16647384
