"UF de notificação";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"11 Rondônia";20;1994;2250;7916;2196;537;990;3957;2293;14260;10700;4991;52104
"12 Acre";13;28464;6067;2252;1885;7337;10192;7731;15004;3518;7190;4309;93962
"13 Amazonas";30;6318;3662;7516;3902;2322;3986;6052;8274;5359;6269;8065;61755
"14 Roraima";10;1128;1110;210;284;111;1605;493;111;62;224;580;5928
"15 Pará";21;4540;7853;10883;7827;3778;5395;3538;5078;5916;5688;19696;80213
"16 Amapá";1;2181;3400;1833;937;775;198;68;285;290;1220;8932;20120
"17 Tocantins";40;3677;8005;8011;4956;2929;13752;1944;9550;20898;3294;4827;81883
"21 Maranhão";-;2640;8003;23874;7193;2167;5641;2567;1320;6852;4799;10664;75720
"22 Piauí";2;7699;7742;5298;5300;1944;8052;2236;4000;31698;7616;15127;96714
"23 Ceará";30;22855;63596;49760;39439;4177;16306;24121;35433;42742;14481;12928;325868
"24 Rio Grande do Norte";30;11576;22945;57103;7486;23822;32080;6976;3848;42177;7667;16886;232596
"25 Paraíba";18;5637;23188;36085;3844;11006;18876;6847;16051;28848;7197;13513;171110
"26 Pernambuco";19;10498;111368;63028;7932;11238;38043;20301;36379;16109;7977;29823;352715
"27 Alagoas";28;13360;27294;19463;2928;2215;20998;2414;7636;33722;4772;16205;151035
"28 Sergipe";2;2260;9258;3621;623;236;6047;1866;769;5244;2952;2655;35533
"29 Bahia";29;13964;55557;67839;10100;9756;68202;83277;24990;35741;47423;231518;648396
"31 Minas Gerais";144;58256;192815;529737;26473;29337;478491;82237;22142;89062;406133;1694793;3609620
"32 Espírito Santo";108;19110;35408;43338;6897;10335;65046;7293;-;-;-;-;187535
"33 Rio de Janeiro";52;7846;73705;88427;11010;14857;32075;4491;2697;11139;49950;296530;592779
"35 São Paulo";56;226969;749772;203397;9468;18614;444380;206491;158527;350984;337196;2123919;4829773
"41 Paraná";66;22775;45859;62970;2230;1426;45763;263769;34798;156196;209426;648422;1493700
"42 Santa Catarina";-;137;4529;5157;191;185;2157;11884;19544;85278;142011;363681;634754
"43 Rio Grande do Sul";-;150;1722;3198;183;128;1626;3972;10838;67232;38676;195645;323370
"50 Mato Grosso do Sul";30;3397;31990;47150;2322;5650;65380;52232;9930;26335;45174;18902;308492
"51 Mato Grosso";61;7183;21524;21377;9399;7294;11176;35023;22365;35371;28607;41555;240935
"52 Goiás";291;92905;168934;129798;64080;91728;120548;59873;61242;206808;70127;323612;1389946
"53 Distrito Federal";9;13609;10245;19603;4251;2482;39583;50856;18707;72691;42167;276612;550815
"00 Ignorado/exterior";-;-;-;13;-;-;-;-;-;-;-;-;13
"Total";1110;591128;1697801;1518857;243336;266386;1556588;952509;531811;1394532;1508936;6384390;16647384
