"UF de notificação";"Ign/Branco";"Analfabeto";"1ª a 4ª série incompleta do EF";"4ª série completa do EF";"5ª a 8ª série incompleta do EF";"Ensino fundamental completo";"Ensino médio incompleto";"Ensino médio completo";"Educação superior incompleta";"Educação superior completa";"Não se aplica";"Total"
"11 Rondônia";24140;392;2861;1523;4085;2033;2897;6053;985;2273;4862;52104
"12 Acre";49497;1245;4784;2208;6094;3380;4263;10401;1315;2451;8324;93962
"13 Amazonas";26426;820;2682;1576;5055;2318;3645;10216;801;1873;6343;61755
"14 Roraima";1863;60;511;167;505;184;399;899;153;316;871;5928
"15 Pará";26315;1126;6691;2912;8536;3962;6503;12188;1577;3217;7186;80213
"16 Amapá";8928;165;943;543;1693;894;1522;2499;417;754;1762;20120
"17 Tocantins";16191;651;5623;1909;8248;4722;7576;19082;3162;6000;8719;81883
"21 Maranhão";20108;1150;6735;3077;7476;4141;6206;14308;1056;2180;9283;75720
"22 Piauí";61216;819;3473;1530;4306;2429;3549;7195;1258;2677;8262;96714
"23 Ceará";185613;3565;12682;7057;19402;11149;15308;35572;4181;6904;24435;325868
"24 Rio Grande do Norte";163580;1222;5198;2237;7130;4274;5096;12865;1536;4156;25302;232596
"25 Paraíba";111625;937;4797;2779;6314;4375;4833;11867;1284;2519;19780;171110
"26 Pernambuco";243726;2439;8357;4802;11099;5844;7073;17648;1785;4064;45878;352715
"27 Alagoas";88178;2125;4987;3275;8515;5470;6216;13468;1291;2451;15059;151035
"28 Sergipe";22019;124;1180;575;1973;675;1270;2315;287;551;4564;35533
"29 Bahia";407592;4260;22155;11108;31022;14498;23674;56652;5601;12043;59791;648396
"31 Minas Gerais";2220370;11782;98353;68580;164527;117164;150043;420192;39024;94285;225300;3609620
"32 Espírito Santo";101032;1113;6864;3812;12368;10078;9994;21474;3481;6558;10761;187535
"33 Rio de Janeiro";411498;1022;20459;5073;13241;13868;16607;53594;5378;12075;39964;592779
"35 São Paulo";2275028;18198;157526;105519;274388;176291;275334;953858;90703;251775;251153;4829773
"41 Paraná";630798;10015;71403;45113;116169;68180;107976;256049;32603;71681;83713;1493700
"42 Santa Catarina";305614;5750;21836;11553;48280;33420;23810;108847;9618;35886;30140;634754
"43 Rio Grande do Sul";191632;763;9590;6382;21351;13204;14040;37169;4828;10692;13719;323370
"50 Mato Grosso do Sul";168602;1327;10481;7027;23989;11974;15810;31271;5089;10326;22596;308492
"51 Mato Grosso";81242;2506;12928;7513;22003;12103;19232;38721;4762;10692;29233;240935
"52 Goiás";769040;5823;38572;23224;71121;57689;74670;203812;18678;37678;89639;1389946
"53 Distrito Federal";435035;709;4556;2875;9877;6412;8745;27291;5037;12605;37673;550815
"00 Ignorado/exterior";9;-;-;1;2;-;1;-;-;-;-;13
"Total";9046917;80108;546227;333950;908769;590731;816292;2385506;245890;608682;1084312;16647384
