"UF de notificação";"Em branco/IGN";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-39";"40-59";"60-64";"65-69";"70-79";"80 e +";"Total"
"11 Rondônia";35;943;2000;3375;4080;4595;18569;13440;1828;1312;1387;533;52097
"12 Acre";29;1970;3389;5246;7608;9967;37761;20107;2695;1878;2394;918;93962
"13 Amazonas";17;1410;2622;4235;5938;6121;23678;13205;1694;1114;1187;529;61750
"14 Roraima";-;212;374;546;649;632;2059;1115;123;104;95;19;5928
"15 Pará";21;1567;2757;5138;7329;8898;31376;17494;2136;1428;1545;519;80208
"16 Amapá";4;411;713;1271;1762;2141;7475;4710;611;445;426;151;20120
"17 Tocantins";7;1439;3530;6622;7895;9311;31865;16063;1817;1340;1413;576;81878
"21 Maranhão";24;2024;3714;6398;7253;7902;27003;14705;2130;1676;2064;823;75716
"22 Piauí";30;1487;3130;6499;7985;9290;38691;21100;2809;2191;2501;993;96706
"23 Ceará";117;4945;9524;18043;25726;34827;133252;71538;9428;6943;8194;3311;325848
"24 Rio Grande do Norte";116;5286;10813;15720;17590;20122;87759;52137;7129;5575;7038;3290;232575
"25 Paraíba";57;3959;8278;12990;14782;15697;62109;37140;5065;3880;4977;2162;171096
"26 Pernambuco";207;9592;19761;27978;28240;29969;130087;77602;9996;7373;8616;3254;352675
"27 Alagoas";53;3349;6075;9874;13159;17008;59705;29729;3922;3025;3738;1389;151026
"28 Sergipe";12;798;1753;3620;4058;3636;12538;6731;832;587;686;276;35527
"29 Bahia";273;11276;23235;45134;56571;65516;238088;146426;20241;15192;18541;7864;648357
"31 Minas Gerais";1253;37060;90612;179781;251933;331013;1322345;944767;154095;114679;129583;52390;3609511
"32 Espírito Santo";54;2254;4174;8152;14055;19863;71939;48135;7529;5025;4652;1697;187529
"33 Rio de Janeiro";844;7062;15244;32870;47500;55573;221083;148170;23471;17164;17660;6103;592744
"35 São Paulo";17356;37351;97955;216765;312686;382391;1693386;1373179;237527;179283;205240;76467;4829586
"41 Paraná";226;11595;32969;73616;105236;127533;511352;411349;73015;56479;66293;24000;1493663
"42 Santa Catarina";52;2959;11618;28935;37872;49304;235226;177368;31009;23926;27498;8985;634752
"43 Rio Grande do Sul";57;1865;4948;13250;19365;23108;105052;93273;19506;16157;19789;6998;323368
"50 Mato Grosso do Sul";68;4189;8732;18084;25618;30104;114405;76823;11373;7841;8439;2807;308483
"51 Mato Grosso";41;5122;12843;19550;20748;22656;85045;54665;7491;5183;5535;2045;240924
"52 Goiás";395;17102;35704;66629;92558;135088;537903;359762;51132;37034;41127;15449;1389883
"53 Distrito Federal";129;6277;15801;27541;33267;43408;199642;156977;22824;16782;19778;8366;550792
"00 Ignorado/exterior";13;-;-;-;-;-;-;-;-;-;-;-;13
"Total";21490;183504;432268;857862;1171463;1465673;6039393;4387710;711428;533616;610396;231914;16646717
