"UF de notificação";"Ign/Branco";"Sim";"Não";"Total"
"11 Rondônia";20209;3833;28062;52104
"12 Acre";51119;2863;39980;93962
"13 Amazonas";24094;2460;35201;61755
"14 Roraima";1536;385;4007;5928
"15 Pará";32386;5459;42368;80213
"16 Amapá";6675;1183;12262;20120
"17 Tocantins";24420;4282;53181;81883
"21 Maranhão";29829;9822;36069;75720
"22 Piauí";28409;6489;61816;96714
"23 Ceará";178003;11978;135887;325868
"24 Rio Grande do Norte";184811;5219;42566;232596
"25 Paraíba";83465;6588;81057;171110
"26 Pernambuco";222667;8460;121588;352715
"27 Alagoas";49899;5564;95572;151035
"28 Sergipe";15221;3296;17016;35533
"29 Bahia";348721;25255;274420;648396
"31 Minas Gerais";1617179;67348;1925093;3609620
"32 Espírito Santo";61403;8037;118095;187535
"33 Rio de Janeiro";231336;17158;344285;592779
"35 São Paulo";1382352;114229;3333192;4829773
"41 Paraná";365254;51498;1076948;1493700
"42 Santa Catarina";202721;15261;416772;634754
"43 Rio Grande do Sul";82305;12269;228796;323370
"50 Mato Grosso do Sul";87775;12799;207918;308492
"51 Mato Grosso";53899;15047;171989;240935
"52 Goiás";485978;60566;843402;1389946
"53 Distrito Federal";301344;26579;222892;550815
"00 Ignorado/exterior";6;1;6;13
"Total";6173016;503928;9970440;16647384
