"UF de notificação";"Ign/Branco";"Branca";"Preta";"Amarela";"Parda";"Indigena";"Total"
"11 Rondônia";5107;12869;1825;762;31288;253;52104
"12 Acre";17553;4934;1420;655;68920;480;93962
"13 Amazonas";4815;2602;692;265;49911;3470;61755
"14 Roraima";373;572;132;14;4633;204;5928
"15 Pará";7509;9311;3832;534;58754;273;80213
"16 Amapá";2126;2112;1160;301;14239;182;20120
"17 Tocantins";2726;12155;3999;2411;60215;377;81883
"21 Maranhão";3702;7116;3435;766;60422;279;75720
"22 Piauí";28287;7077;2799;761;57598;192;96714
"23 Ceará";49875;32068;6420;2768;233972;765;325868
"24 Rio Grande do Norte";127363;33191;4106;996;66193;747;232596
"25 Paraíba";49095;18240;2711;1057;99654;353;171110
"26 Pernambuco";148976;37454;6619;1443;156987;1236;352715
"27 Alagoas";35269;10538;3728;966;100062;472;151035
"28 Sergipe";14445;2548;816;321;17367;36;35533
"29 Bahia";200001;54753;41150;5115;345460;1917;648396
"31 Minas Gerais";999516;914801;192065;28052;1468411;6775;3609620
"32 Espírito Santo";77411;40670;7748;809;60600;297;187535
"33 Rio de Janeiro";203031;159970;45256;5666;177834;1022;592779
"35 São Paulo";1072951;2536966;212238;35979;965730;5909;4829773
"41 Paraná";119372;1023231;47535;13703;286869;2990;1493700
"42 Santa Catarina";40498;522962;15514;5698;49442;640;634754
"43 Rio Grande do Sul";39304;257109;9013;972;15341;1631;323370
"50 Mato Grosso do Sul";76094;110832;7704;3931;104934;4997;308492
"51 Mato Grosso";32236;69077;9900;2285;126334;1103;240935
"52 Goiás";458996;237312;33314;15004;642627;2693;1389946
"53 Distrito Federal";215867;70813;22396;5879;234849;1011;550815
"00 Ignorado/exterior";6;3;-;-;4;-;13
"Total";4032504;6191286;687527;137113;5558650;40304;16647384
