"UF de notificação";"Em Branco";"Ignorado";"Masculino";"Feminino";"Total"
"11 Rondônia";2;17;24503;27582;52104
"12 Acre";4;108;42955;50895;93962
"13 Amazonas";1;31;29387;32336;61755
"14 Roraima";3;3;2823;3099;5928
"15 Pará";8;29;36356;43820;80213
"16 Amapá";-;23;9529;10568;20120
"17 Tocantins";-;13;38505;43365;81883
"21 Maranhão";6;24;34226;41464;75720
"22 Piauí";13;158;41890;54653;96714
"23 Ceará";19;158;141686;184005;325868
"24 Rio Grande do Norte";12;332;101101;131151;232596
"25 Paraíba";18;154;74796;96142;171110
"26 Pernambuco";27;534;149871;202283;352715
"27 Alagoas";6;119;66752;84158;151035
"28 Sergipe";3;14;16035;19481;35533
"29 Bahia";27;1620;281027;365722;648396
"31 Minas Gerais";59;7274;1593160;2009127;3609620
"32 Espírito Santo";4;157;86204;101170;187535
"33 Rio de Janeiro";9;2509;265695;324566;592779
"35 São Paulo";141;6296;2209635;2613701;4829773
"41 Paraná";19;1480;673512;818689;1493700
"42 Santa Catarina";3;299;303845;330607;634754
"43 Rio Grande do Sul";2;284;147586;175498;323370
"50 Mato Grosso do Sul";2;211;138270;170009;308492
"51 Mato Grosso";3;165;113007;127760;240935
"52 Goiás";24;2750;621861;765311;1389946
"53 Distrito Federal";1;523;249848;300443;550815
"00 Ignorado/exterior";-;-;6;7;13
"Total";416;25285;7494071;9127612;16647384
