"UF de notificação";"Ign/Branco";"Analfabeto";"1ª a 4ª série incompleta do EF";"4ª série completa do EF";"5ª a 8ª série incompleta do EF";"Ensino fundamental completo";"Ensino médio incompleto";"Ensino médio completo";"Educação superior incompleta";"Educação superior completa";"Não se aplica";"Total"
"11 Rondônia";3044;46;320;129;507;215;423;914;201;440;717;6956
"12 Acre";1273;101;332;129;385;150;397;1001;171;325;672;4936
"13 Amazonas";4678;20;191;135;460;188;386;1057;258;522;723;8618
"14 Roraima";563;26;138;63;214;125;193;602;116;241;333;2614
"15 Pará";4047;80;546;333;1096;455;830;2019;403;837;1110;11756
"16 Amapá";603;12;104;26;144;70;105;325;121;271;234;2015
"17 Tocantins";4585;160;1364;472;1917;835;1814;5112;957;1996;2424;21636
"21 Maranhão";2093;83;865;364;913;451;852;3063;286;540;1868;11378
"22 Piauí";929;22;70;27;92;77;137;269;70;168;214;2075
"23 Ceará";9514;205;1045;609;1611;927;1349;3526;453;853;1866;21958
"24 Rio Grande do Norte";12036;188;864;374;1252;690;961;2298;301;984;2871;22819
"25 Paraíba";6749;93;488;347;721;432;599;1507;140;416;1297;12789
"26 Pernambuco";13860;117;621;323;843;375;546;1893;211;594;2931;22314
"27 Alagoas";5652;192;677;489;1091;491;664;1453;144;274;1562;12689
"28 Sergipe";2657;76;388;116;508;179;337;916;160;371;383;6091
"29 Bahia";55008;633;3597;1667;3856;1620;2574;6050;816;1580;8088;85489
"31 Minas Gerais";15692;89;1043;624;1653;974;1603;4394;619;1640;2650;30981
"32 Espírito Santo";1992;30;190;102;388;373;320;1007;179;460;508;5549
"33 Rio de Janeiro";70702;97;1516;1299;3313;1969;2398;6060;800;1610;5347;95111
"35 São Paulo";9008;45;583;319;1134;733;1331;4891;619;2259;1642;22564
"41 Paraná";1169;28;354;193;630;302;475;1088;208;498;719;5664
"42 Santa Catarina";505;10;59;48;156;329;144;391;58;205;184;2089
"43 Rio Grande do Sul";1024;7;108;49;212;133;181;428;115;318;230;2805
"50 Mato Grosso do Sul";3867;18;383;259;1116;438;576;1217;228;496;841;9439
"51 Mato Grosso";9921;376;2001;1066;3443;1767;3221;5773;1037;2135;4092;34832
"52 Goiás";13516;86;487;289;1249;574;1342;3010;536;986;1473;23548
"53 Distrito Federal";3496;6;36;41;132;64;131;376;88;201;458;5029
"Total";258183;2846;18370;9892;29036;14936;23889;60640;9295;21220;45437;493744
