"UF de notificação";"Em branco/IGN";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-39";"40-59";"60-64";"65-69";"70-79";"80 e +";"Total"
"11 Rondônia";2;345;237;333;367;512;2858;1690;236;172;153;51;6956
"12 Acre";1;325;243;265;290;428;1929;1119;123;102;83;28;4936
"13 Amazonas";5;225;346;410;518;782;4107;1833;204;110;60;18;8618
"14 Roraima";-;110;156;139;176;235;1159;499;43;49;41;7;2614
"15 Pará";1;412;469;620;767;1237;5358;2262;270;154;154;52;11756
"16 Amapá";-;104;95;84;118;167;869;462;49;28;28;11;2015
"17 Tocantins";5;606;1188;1545;1659;2120;8911;4321;473;350;348;110;21636
"21 Maranhão";2;661;840;951;822;929;4209;2113;305;207;247;92;11378
"22 Piauí";-;99;74;98;119;168;924;389;63;40;63;38;2075
"23 Ceará";4;621;841;1094;1356;2192;9911;4421;501;405;436;176;21958
"24 Rio Grande do Norte";4;1009;1282;1501;1533;1799;8445;5156;711;493;621;265;22819
"25 Paraíba";1;398;570;880;877;1039;4690;2922;420;364;432;196;12789
"26 Pernambuco";17;780;1394;1794;1715;1935;9211;4279;439;291;337;122;22314
"27 Alagoas";2;542;690;886;959;1341;5065;2367;298;218;244;77;12689
"28 Sergipe";-;102;173;286;416;486;2421;1632;205;150;165;55;6091
"29 Bahia";51;2251;3974;4902;5549;7095;31227;20566;3032;2378;3054;1410;85489
"31 Minas Gerais";3;910;1157;1507;1593;2523;14331;6941;894;523;457;142;30981
"32 Espírito Santo";2;235;169;246;305;449;2448;1302;183;112;75;23;5549
"33 Rio de Janeiro";100;1586;2492;3454;4888;8320;41116;24959;3480;2220;1922;574;95111
"35 São Paulo";1;835;541;699;805;1665;12680;4047;552;346;311;82;22564
"41 Paraná";-;312;268;318;375;531;2322;1206;135;85;88;24;5664
"42 Santa Catarina";-;99;55;71;86;151;960;516;75;43;25;8;2089
"43 Rio Grande do Sul";1;86;95;112;143;229;1182;697;103;65;63;29;2805
"50 Mato Grosso do Sul";-;315;363;491;579;823;4073;2121;271;175;177;51;9439
"51 Mato Grosso";4;1059;2074;2349;2352;3068;14439;7630;803;503;435;116;34832
"52 Goiás";6;389;700;998;1282;2112;10707;5712;686;416;418;122;23548
"53 Distrito Federal";-;270;126;160;236;349;2271;1216;153;111;93;44;5029
"Total";212;14686;20612;26193;29885;42685;207823;112378;14707;10110;10530;3923;493744
