"UF de notificação";"Ign/Branco";"Branca";"Preta";"Amarela";"Parda";"Indigena";"Total"
"11 Rondônia";1006;1534;266;102;4005;43;6956
"12 Acre";272;444;65;26;4072;57;4936
"13 Amazonas";2468;413;26;8;5654;49;8618
"14 Roraima";232;335;78;7;1892;70;2614
"15 Pará";1386;1856;518;77;7878;41;11756
"16 Amapá";71;421;91;29;1389;14;2015
"17 Tocantins";672;3788;898;640;15529;109;21636
"21 Maranhão";368;1249;660;82;8952;67;11378
"22 Piauí";235;278;73;15;1471;3;2075
"23 Ceará";1377;2967;535;176;16797;106;21958
"24 Rio Grande do Norte";5629;4700;828;98;11508;56;22819
"25 Paraíba";2033;2031;272;243;8188;22;12789
"26 Pernambuco";8131;2685;494;180;10687;137;22314
"27 Alagoas";3337;1336;337;68;7572;39;12689
"28 Sergipe";749;719;283;125;4181;34;6091
"29 Bahia";39230;7261;4060;533;34097;308;85489
"31 Minas Gerais";7382;9088;1504;282;12643;82;30981
"32 Espírito Santo";1749;1672;216;33;1866;13;5549
"33 Rio de Janeiro";52100;20003;4919;771;17158;160;95111
"35 São Paulo";5252;12870;743;128;3543;28;22564
"41 Paraná";286;4302;144;38;888;6;5664
"42 Santa Catarina";51;1853;47;12;124;2;2089
"43 Rio Grande do Sul";169;2357;104;9;157;9;2805
"50 Mato Grosso do Sul";1056;4198;253;182;3614;136;9439
"51 Mato Grosso";3388;11662;1494;285;17819;184;34832
"52 Goiás";12056;3723;514;145;7067;43;23548
"53 Distrito Federal";3289;561;108;29;1040;2;5029
"Total";153974;104306;19530;4323;209791;1820;493744
